Degree,Cols1,Rows1,Finger,Stage,Level,Bend,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7
0,0,1,1,1,1,false,1.1072797,1.1086956,1.0705882,1.0060606,1.0993377,1.0555556,1.0438871,1.027027,4,2,1.1449814,1.1677853,1.1545454,1.1461794,1.0993975,1.074184,1.1107143,1.126394
0,0,1,1,1,2,false,1.072797,1.1149068,1.1058824,1.0848485,1.0231788,1.0208334,1.0062696,0.9121622,4,2,1.0855019,1.0503355,1.0333333,1.0730897,1.0993975,1.0949554,1.1321429,1.133829
0,0,1,1,2,0,true,1.0536399,1.0869565,1.0558823,1.0,1.0629139,1.03125,1.0219436,0.9662162,4,2,1.1226766,1.1208054,1.1030303,1.1196014,1.1024096,1.0949554,1.1357143,1.1449814
0,0,1,1,2,1,true,1.1800766,1.158385,1.1147059,1.0454545,0.9966887,0.9027778,0.96238244,0.9054054,4,2,1.1152416,1.1174496,1.1151515,1.1295681,1.1084337,1.0949554,1.1428572,1.1598513
0,0,1,1,2,2,true,1.065134,1.1024845,1.0794117,1.060606,0.90066224,0.9131944,0.97805643,0.8783784,4,2,1.1189591,1.1073825,1.0727273,1.0963455,1.1084337,1.1186943,1.1571429,1.1486989
0,0,1,1,3,1,false,1.0996169,1.0962733,1.0617647,1.0,1.0198675,0.9618056,0.9937304,0.9391892,4,2,1.1189591,1.1241611,1.1181818,1.1295681,1.1024096,1.0919881,1.1357143,1.1449814
0,0,1,1,3,1,true,1.1494253,1.1273292,1.0852941,1.0090909,0.99006623,0.8923611,0.9498433,0.8918919,4,2,1.1226766,1.1342282,1.1212121,1.1295681,1.1024096,1.0890207,1.1285714,1.1449814
0,0,1,1,4,0,false,1.1072797,1.1055901,1.0852941,1.0424242,1.013245,0.9722222,1.0,0.9324324,4,2,1.0966543,1.080537,1.0787879,1.1129568,1.1024096,1.1127596,1.1571429,1.1747212
0,0,1,1,4,0,true,1.0804597,1.083851,1.0588236,1.0060606,1.0397351,0.9895833,0.9968652,0.9290541,4,2,1.1078067,1.0973154,1.0909091,1.1162791,1.1054217,1.115727,1.1571429,1.1710037
0,0,1,1,5,2,false,1.091954,1.1180124,1.1029412,1.0636364,0.9701987,0.96875,0.9811912,0.8716216,4,2,1.055762,0.9899329,0.9787879,1.0498339,1.0963856,1.124629,1.1607143,1.1598513
0,0,1,1,5,2,true,1.0689656,1.083851,1.0676471,1.0242424,0.98013246,0.9479167,0.9874608,0.902027,4,2,1.1003717,1.0872483,1.0757576,1.1063123,1.1024096,1.1127596,1.1607143,1.1710037
0,0,1,2,1,0,false,1.091954,1.083851,1.0647058,1.030303,1.0198675,0.9826389,1.0062696,0.9628378,4,2,1.1003717,1.080537,1.0787879,1.1096345,1.0963856,1.0890207,1.1357143,1.1524163
