Degree,Cols1,Rows1,Finger,Stage,Level,Bend,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7
0,0,0,0,5,2,true,0.98032784,0.9767442,0.97039473,0.97979796,0.96875,0.9739414,0.9799331,0.9897959,4,3,0.9791667,0.9768977,0.9832215,0.9790941,1.0397351,0.9790941,0.97952217,0.979661
0,0,0,1,1,0,false,0.98688525,0.9800664,0.9802632,0.98316497,0.9791667,0.98045605,0.9799331,0.9829932,4,3,0.9791667,0.9768977,0.97651005,0.9790941,1.0397351,0.9790941,0.97952217,0.979661
0,0,0,1,1,1,false,0.9836066,0.9767442,0.97039473,0.98316497,0.9722222,0.9771987,0.9799331,0.9829932,4,3,0.9791667,0.980198,1.1040268,0.9860627,1.0397351,0.9790941,0.9761092,0.979661
0,0,0,1,1,2,false,0.9836066,0.9800664,0.9605263,0.97979796,0.9722222,0.98045605,0.9765886,0.9829932,4,3,0.9791667,0.9768977,0.97651005,0.9790941,1.0463576,0.9756098,0.97952217,0.979661
0,0,0,1,2,0,true,0.98032784,0.9800664,0.97039473,0.97979796,0.96875,0.9739414,0.9765886,0.97959185,4,3,0.9826389,0.9768977,0.97651005,0.9790941,1.0397351,0.9790941,0.97952217,0.979661
0,0,0,1,2,1,true,0.9836066,0.9800664,0.9638158,0.97979796,0.9722222,0.9837133,0.9765886,0.9829932,4,3,0.9826389,0.9768977,0.97651005,0.9756098,1.0397351,0.9790941,0.97952217,0.9830508
0,0,0,1,2,2,true,0.98688525,0.9800664,0.97039473,0.97979796,0.9756944,0.9771987,0.9799331,0.9829932,4,3,0.9791667,0.9768977,0.97651005,0.9790941,1.0364238,0.9756098,0.98293513,0.979661
0,0,0,1,3,1,false,0.9836066,0.9767442,0.97039473,0.98316497,0.9722222,0.9837133,0.9765886,0.97959185,4,3,0.9826389,0.97359735,0.9697987,1.0,1.0397351,0.9756098,0.97952217,0.979661
0,0,0,1,3,1,true,0.9836066,0.9800664,0.97039473,0.97979796,0.9722222,0.9771987,0.9799331,0.9863946,4,3,0.9791667,0.98349833,0.97651005,0.9790941,1.0397351,0.9790941,0.97952217,0.979661
0,0,0,1,4,0,false,0.98032784,0.9767442,0.98355263,0.97979796,0.9722222,0.9771987,0.9765886,0.97959185,4,3,0.9895833,0.9768977,0.9832215,0.9756098,1.0298014,0.9790941,0.9761092,0.979661
0,0,0,1,4,0,true,0.9836066,0.9800664,0.97039473,0.98316497,0.96875,0.98045605,0.9765886,0.97959185,4,3,0.9791667,0.9768977,0.9798658,0.9790941,1.0397351,0.9790941,1.2491467,0.979661
0,0,0,1,5,2,false,0.9836066,0.9767442,0.97039473,0.97979796,0.9722222,0.9771987,1.2408026,0.97959185,4,3,0.9826389,0.9768977,0.97315437,0.9825784,1.0364238,0.9756098,0.97952217,0.9762712
